TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
ABI3BP	1075.5556	1877.1979	5065.1731	8382.4742	2669.2916	1307.5887	2877.9992	6464.2634	3013.442	1518.2466	38.7646	163.8088	400.9336	519.4755	223.9416	31.1729	275.9894	11.1203	294.5851	952.1976	1510.5973
ABL1	2372.0635	2778.7494	2913.442	3171.134	3133.7707	3154.9169	2264.7418	2713.6595	3363.136	3094.6186	2991.8059	1981.3937	1816.39	2242.1905	1850.2999	1450.578	1740.8561	2271.0049	1826.6494	1942.0383	1975.5941
ABL2	942.2222	727.4095	1094.1955	1260.8247	1073.3762	1110.4625	1174.4612	1057.3397	909.5652	744.1728	849.6691	1244.8012	1033.7137	1630.9294	890.5503	1925.4449	1380.87	923.3937	832.0089	952.6254	1445.0867
ABLIM1	3618.4127	6155.5242	10234.7251	9298.9691	7670.737	7773.2375	9169.1745	10940.1556	8823.8345	4148.9799	2314.5288	2353.1558	1616.7012	2594.678	8393.2887	1601.2469	2104.996	1855.0247	3211.9756	2745.3748	5197.1741
ABLIM2	135.2381	124.4946	117.1079	63.4021	111.7287	83.9695	57.3404	54.3877	99.526	60.9199	189.4107	306.4575	52.3859	30.081	110.9276	35.3293	59.9977	80.7249	552.9477	35.932	160.2441
ABLIM3	1340.3175	2132.9572	3578.4114	3113.4021	3758.2805	3092.5011	5562.0171	1536.8101	1576.4794	1554.2956	30.2553	67.1288	93.8797	96.0278	17.039	15.0669	35.0756	53.1301	103.8625	312.2661	156.3905
ABO	61.5873	19.5581	16.8024	26.2887	21.9554	22.4517	9.7601	26.4782	15.6355	18.4436	16.0731	1.4593	0.5187	0	0.3477	3.1173	3.2306	127.6771	3.3266	6.8442	22.8003
ABR	2407.9365	2107.3813	1561.609	2078.866	1869.1384	2088.0108	1972.3465	1876.7332	2209.1158	2502.7456	4582.099	1956.2204	1541.4938	1924.0262	1767.1912	915.4436	888.8889	1086.4909	775.0878	2472.0351	2311.1753
ABRA	1.9048	1.8806	0.5092	0.5155	19.028	1.7961	2.44	1.0734	2.1048	0	0.3152	1.0945	2.5934	0	1.0432	1.0391	0.923	0.4119	1.1089	0	0.9634
ABRACL	555.5556	545.3691	175.6619	543.299	249.316	260.8891	109.3941	376.7779	303.9902	667.8832	1076.5837	2157.9715	10750	1401.0798	594.6275	4705.0266	2296.5271	2720.346	1497.6899	1678.5371	1621.7084
ABT1	648.5714	592.0075	419.0428	309.7938	411.7862	480.916	342.4156	456.2125	552.3541	483.7263	597.5418	549.4345	1153.527	629.0012	938.19	2789.4532	811.8149	1166.804	915.1728	720.7785	602.4406
ABTB1	701.2698	895.9097	817.2098	740.2062	492.2894	760.2155	668.5645	357.4559	644.0623	389.8314	144.6581	347.3185	270.7469	457.3853	188.4726	271.7236	401.0615	753.7068	159.3051	446.5833	408.799
ABTB2	68.254	144.4288	97.7597	57.2165	168.3249	356.5335	38.6336	215.0461	120.2731	173.2584	639.7731	582.6341	474.5851	286.5407	690.6025	961.1638	485.9813	235.5848	1044.9085	242.9687	133.9114
ACAA1	1996.1905	2230.3714	1522.4033	1320.1031	1293.4184	1210.5972	1220.0081	678.7727	1099.8973	1155.2423	303.4983	896.0233	1649.3776	1124.9518	837.6945	568.3855	1406.7151	992.5865	871.5579	985.9908	570.9698
ACAA2	1571.1111	2839.3042	4564.664	4989.1753	3595.8104	3651.5492	8032.9402	1918.9552	2346.2271	1165.8614	2116.2937	1600.8756	472.5104	685.3066	1567.9388	1848.0322	924.8875	691.9275	2762.8904	903.8605	1205.2023
ACACA	1986.9841	2153.6436	3095.723	2398.9691	5182.4557	2982.9367	7055.307	1956.8834	1844.087	3466.5653	2040.3404	1786.5742	1062.2407	836.8685	1219.1602	1212.625	1529.9412	1871.911	1777.8599	1388.5146	1983.9435
ACACB	1132.381	5794.0762	15134.9287	14816.4948	10127.3049	8655.1414	40829.6055	2293.2284	3699.2993	887.8096	395.5247	531.5578	103.7344	131.1223	256.281	62.3458	96.4578	205.5189	82.4247	327.6655	440.2697
ACAD10	546.9841	555.5242	631.3646	436.5979	496.1926	629.9955	678.3245	389.6592	481.393	531.5121	486.6057	523.5316	385.8921	428.8469	512.2142	565.2682	449.9827	425.8649	250.6006	368.3029	434.1683
ACAD11	514.5873	600.2821	1608.4521	725.7423	1058.2368	933.5429	1846.2708	522.0503	520.7734	416.6585	234.4217	155.0128	370.3268	246.0355	93.1931	425.5098	272.7587	300.2471	119.0168	248.5296	261.4001
ACAD8	703.1746	602.5388	456.2118	478.866	551.3251	608.4419	770.6385	536.3628	595.6524	736.3482	428.9316	345.1295	422.1992	351.3305	425.9758	162.6185	226.6067	370.2636	220.6616	292.1613	297.6879
ACAD9	902.5333	1193.0343	1304.4756	922.1495	1347.0774	1172.8693	1102.0699	811.4071	1075.539	881.1475	1092.6536	1276.1729	1117.1888	840.3201	1420.3495	1416.4073	1278.4031	1722.4053	812.7888	600.5775	899.8073
ACADL	33.9683	256.8876	680.2444	374.2268	422.032	338.123	865.3924	142.0521	162.3687	80.4813	3.4668	4.378	84.5436	38.951	28.5143	0	0	4.9423	0.3696	1.2833	55.5556
ACADM	1023.8095	1466.8547	2004.0733	1282.9897	1603.7217	1378.0871	4366.0024	1044.1005	1105.3096	1407.0259	1948.9442	1663.9912	541.4938	580.7944	803.9642	1299.9091	1242.4138	345.14	1069.3033	852.9569	960.501
ACADS	824.4444	1645.8862	1576.3747	1665.9794	1149.9763	1000.449	1543.3103	276.59	679.2422	333.6622	162.9373	212.6961	116.1826	148.091	103.9729	378.2309	52.1518	202.6359	121.9738	248.1018	363.1985
ACADSB	2791.746	1596.2388	1428.7169	695.3608	1551.0287	1215.0876	2958.9264	1704.9826	2061.1799	1192.409	2157.8947	648.6684	203.3195	631.3151	404.4162	6653.8511	316.1417	219.5222	573.2767	812.7473	352.6012
ACADVL	8942.1492	8381.6756	7975.0255	7596.9072	5797.6417	7672.1643	7105.3274	2934.0728	5298.8591	4840.0042	1154.4185	2658.88	4044.0871	2813.7177	2844.8231	1591.3755	2551.7434	2733.1054	1953.7904	2965.6593	2908.7893
ACAN	61.5873	7.1462	6.11	14.433	23.4191	4.9394	32.5336	23.2579	20.4464	8.3835	23.3218	41.9555	200.2075	70.189	137.3555	56.6307	158.3016	56.8369	87.969	4.2776	30.1863
ACAP1	146.6667	189.5628	38.6965	34.5361	56.5962	58.3745	35.7869	32.5611	101.6308	130.5027	4.0971	108.3546	224.5851	809.1014	192.9931	7.7932	251.0673	138.7974	172.2417	1060.8491	468.2081
ACAP2	899.3651	1035.449	1550.4073	1702.0619	1623.2376	1215.9856	2167.1411	1574.3805	1356.981	1367.0647	1166.404	1180.9559	660.2697	1216.3517	1737.9814	676.971	1383.1776	901.1532	2087.2297	1469.3616	2240.5267
ACAP3	502.2603	584.1091	429.2261	387.1598	329.8192	546.502	334.3188	265.8878	376.5028	454.6831	480.3341	428.6793	1550.332	349.7956	709.4323	283.1589	688.2197	175.8773	331.9386	346.949	667.9865
ACAT1	1388.254	2214.1984	3866.0896	2849.4845	2754.1859	1924.1132	6008.1334	1798.3719	1787.8593	1021.3862	1271.0369	623.8599	267.6349	978.4034	815.0917	364.7227	815.5071	2077.8418	1441.8777	697.6794	609.1843
ACAT2	432.9524	318.4316	337.9124	188.9948	310.8156	327.5752	399.3819	318.9552	310.2324	498.4728	1787.8727	1370.1094	630.1867	440.9873	489.2706	790.7624	536.4301	1690.7867	1532.4007	740.1219	892.5112
ACBD3	1048.8889	1149.4123	1124.2363	1272.1649	1054.3482	1029.6363	1203.7414	1303.1577	1307.6691	1474.6526	857.2329	1659.9781	1974.0664	2345.5457	2224.8109	1326.9256	2067.1513	1671.3344	3545.3705	1643.8884	2990.045
ACBD4	361.2698	398.3075	359.9796	234.0206	295.1785	342.6134	213.5014	198.2288	273.6213	179.9652	56.0983	49.6169	50.8299	138.064	37.5554	128.3284	61.8438	79.0774	79.0981	155.2775	128.7733
ACBD5	621.9048	679.6427	1163.9511	910.8247	878.7048	787.1576	1300.5287	660.1664	665.1101	643.2917	540.498	346.5888	523.8589	866.5638	465.9654	293.5446	1095.1886	404.4481	647.9394	906.8549	972.7039
ACBD6	534.6032	454.3488	368.6354	319.0722	274.6867	286.4841	296.0553	298.4167	374.35	342.0456	485.0299	525.7205	784.2324	826.8415	707.2937	1415.7683	535.364	557.2488	381.8148	469.6824	488.4393
ACBD7	33.6508	19.9342	8.6558	6.1856	19.028	17.5123	8.1334	91.9581	34.8792	79.9224	729.2783	51.8059	406.639	83.3012	112.3185	692.0379	56.3055	363.6738	2346.3315	467.1158	104.3674
ACCS	608.254	450.2116	335.5397	247.4227	277.1262	350.247	459.5364	240.093	258.2864	217.9702	57.359	99.5987	343.361	102.5839	77.1973	334.0694	128.3028	132.6194	230.2717	588.6001	125.8831
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	453.6508	356.1824	206.2118	190.2062	248.8281	350.696	192.3546	315.9495	344.2817	338.6922	415.0646	770.8865	280.083	468.5692	426.3236	610.4689	433.8295	748.7644	771.7612	384.9856	353.2434
ACE	506.6667	1177.6211	1081.9756	1840.7216	1455.4006	1179.6138	1134.6076	987.2082	1071.6331	537.3805	267.255	435.6074	131.7427	440.8022	382.8566	257.1763	302.7576	395.799	261.6892	714.3621	410.0835
ACE2	11.1111	13.5402	49.389	4.6392	26.3465	31.4324	27.6535	60.8283	20.7471	26.8271	3.1516	8.0263	374.4813	100.6556	8.3456	7.7932	0	2.4712	89.817	50.9036	2.2479
ACER1	0.6349	1.5045	0	0	0.4879	0.8981	0	1.0734	1.2027	5.589	0	0	0.5187	0.7713	1.0432	0	0	0	0	0.8555	0.3211
ACER2	96.1905	122.2379	349.2872	258.2474	212.2358	185.9003	660.4311	142.0521	125.084	148.6669	63.9773	36.483	9.8548	47.8211	13.5617	21.821	29.9988	13.5914	19.9593	73.575	39.8202
ACER3	297.7778	352.0451	976.0692	955.6701	1153.3916	796.1383	1744.205	408.6233	449.8213	493.507	760.1639	568.7705	194.5021	394.9094	505.955	818.8076	240.4523	512.3558	313.8052	510.7475	367.6943
ACHE	22.5397	49.6474	16.8024	3.6082	7.3185	36.3718	4.88	6.0828	15.3348	21.2381	49.7951	10.2152	25.4149	60.9333	9.7366	5.1955	23.076	4.9423	14.7847	133.4617	37.5723
ACIN1	3377.1429	2817.8655	2411.9145	2717.5258	2003.3104	2700.943	2205.368	2400.5725	2508.8964	3242.1677	3179.6407	2577.8913	4612.5519	2680.6788	2798.922	2128.5881	3321.103	3156.9193	3087.0449	2586.6752	3350.6744
ACKR1	2607.619	3816.079	2739.3075	2658.2474	4134.4501	2958.2398	3106.1407	2158.3326	5339.2227	1528.3068	9.4548	230.208	212.6556	528.7312	89.368	6.2346	35.0756	26.771	515.986	1662.7099	397.8805
ACKR2	96.1905	159.4734	123.7271	372.6804	197.1109	121.2393	161.4477	303.4261	234.8332	67.3472	4.4122	10.9449	574.1701	816.4288	5.5638	9.8714	9.2304	173.8056	29.5694	291.7335	788.0539
ACKR3	1134.9206	3057.4518	3401.7312	6291.2371	4893.132	3382.1284	4434.7296	4393.9529	4931.7976	172.6995	1099.9055	261.2185	711.0996	213.2665	134.5736	364.2031	354.4479	227.7595	277.9523	129.184	479.1265
ACKR4	56.8254	228.3028	303.9715	350.5155	225.8969	348.4508	402.6027	430.8078	335.5619	50.0214	6.6183	37.9424	37.8631	55.9198	10.7798	62.8653	166.609	23.0643	34.3744	17.1105	203.2755
ACLY	3405.7143	3383.921	2682.7902	3127.8351	5707.4342	4555.9048	3013.0134	2524.7339	2918.4263	4228.3434	4563.5046	4490.332	2219.917	2836.4828	3194.9926	3421.2235	4322.603	3637.1499	4273.8865	3782.2693	3982.659
ACMSD	26.3492	9.4029	0	0	2.4395	0.8981	0.4067	0.7156	4.8109	1.6767	0	0	0	1.9283	0	0	0	0	0	2.1388	0
ACO1	1349.8413	4737.9408	11869.6538	7382.9897	8152.7805	4434.6655	12373.7292	1919.313	2495.6664	1223.9868	854.3965	1033.5644	618.2573	2343.6174	517.0825	610.4689	517.8262	605.4366	1007.5772	600.1497	976.2364
ACO2	2553.8571	3772.0733	4526.8839	2837.8402	4132.0399	3968.1365	5541.647	1661.3221	2532.6203	2259.9742	1736.7476	4797.2382	2425.5083	2545.322	4991.9256	2837.5477	2414.5379	2327.9366	2235.0693	2077.0955	2157.6301
ACOT1	672.6984	1592.1016	1888.4929	1508.7629	1344.1598	1471.9353	2784.8719	445.8359	866.8682	411.9079	251.497	413.7176	296.6805	233.7061	675.6498	456.6827	336.9101	343.4926	173.7202	263.929	198.1374
ACOT11	48.8889	42.0235	8.4521	27.8351	16.0177	27.3911	18.7068	29.6628	46.3051	34.6517	56.4135	299.2594	7.36	29.5334	65.03	34.1135	39.6908	218.6985	9.6877	59.6343	131.6699
ACOT12	0	0	0	0	0	1.3471	0	0.7156	0.3007	0.2794	0	0	0	0	0.3477	0	0	0	0	0	0
ACOT13	631.0794	700.1561	945.6314	825.0567	710.0628	646.978	868.8369	579.2325	589.7109	555.5866	419.6848	560.5399	1814.3205	852.0247	720.3929	885.8969	638.3847	990.0453	897.4349	592.8307	403.1985
ACOT2	391.4286	928.2558	1412.9328	930.4124	525.4665	806.4661	1521.7568	255.479	442.3043	273.0217	213.0476	374.6808	115.1452	100.27	482.309	234.8357	254.2979	131.3839	109.0371	257.5126	164.7399
ACOT4	203.4921	271.9323	311.609	158.2474	241.0218	212.8424	310.6954	60.4705	131.3983	122.1192	80.3656	70.4123	23.3402	125.3374	69.1993	229.6402	39.2293	114.9094	16.6328	47.9093	61.3359
ACOT6	3.1746	7.1462	26.9857	9.7938	8.2943	13.022	20.7401	2.8625	3.0068	0.8383	0	1.0945	0	0.3857	0.3477	1.5586	0	3.7068	0.3696	0.8555	0.9634
ACOT7	461.5873	351.669	222.5051	353.0928	266.8804	198.9223	123.6275	163.5209	287.4527	402.6861	1252.7576	1349.1426	602.6971	697.6475	962.1838	1533.7057	923.0414	2073.3114	1081.5006	685.2743	494.8619
ACOT8	294.5111	253.8298	183.442	197.6237	210.5964	249.771	196.6938	178.0624	200.1975	283.0064	397.4724	458.1248	439.3568	321.7239	304.6962	653.7992	362.5476	346.0626	258.3293	207.6912	276.9268
ACOT9	415.873	593.1359	687.8819	808.2474	716.2347	629.0974	643.351	672.6899	668.117	527.3203	221.2417	603.7942	2178.4232	842.6533	542.8149	1015.7163	294.4502	1310.1318	1051.9313	661.3196	658.9595
ACOX1	1376.7968	2953.0569	4675.5143	3326.2887	3923.6781	3013.471	5173.9772	1854.1909	2467.7029	1472.6964	660.0756	1197.6651	2965.7676	1868.8777	825.263	694.6357	973.3472	672.57	1463.09	1321.356	1552.5851
ACOX2	332.381	399.0597	637.9837	355.6701	390.3186	351.145	633.5909	328.8308	317.8216	203.9978	5.988	18.2415	39.4191	26.2245	14.2572	6.2346	6.9228	28.0066	18.1113	35.0765	27.9383
ACOX3	654.2857	780.8181	490.3259	381.4433	560.5951	502.9187	364.3758	527.4175	492.8189	730.4798	212.4173	520.9777	515.0415	447.3583	634.2693	116.3788	303.2191	338.5502	575.864	282.3227	485.228
ACOXL	1.2698	1.5045	3.055	3.0928	1.9516	1.3471	0.8133	1.0734	0.6014	1.1178	31.8311	5.1076	0	9.2557	2.7819	0	0.923	2.883	1.1089	18.8215	12.8452
ACP1	1268.254	1117.8185	1002.0367	954.1237	1058.2514	1136.0575	1073.6072	1385.4549	1174.4666	1348.9005	3034.3523	2792.4115	2855.8091	1723.1007	1954.9683	2624.2369	1563.6322	2244.6458	1658.4735	1573.3077	2097.3025
ACP2	1187.3016	1545.4631	1126.2729	1552.0619	1252.9228	1071.8455	850.7523	671.2586	899.342	1133.4453	581.1535	1049.6169	1456.9502	1839.9537	1063.027	888.9466	1002.423	1363.6738	1374.2377	1549.353	895.3115
ACP5	1320.9524	2271.7442	1047.8615	2448.4536	1027.0259	543.7809	248.8817	752.4823	687.6613	2550.2519	325.5594	1827.8001	413.3817	2917.8558	868.2952	520.0675	2382.3699	286.2438	763.6296	1988.6643	4098.9082
ACP6	205.0794	555.9003	160.387	113.9175	134.6599	322.8559	157.381	274.0853	256.1817	222.4414	158.8402	218.5334	218.361	210.9526	80.3269	309.6506	114.9187	142.0923	246.1652	207.8922	144.1875
ACPP	36.5079	56.0414	20.8758	51.5464	25.8586	10.3278	7.32	30.772	27.0614	25.4299	17.9641	6.9318	14.0041	19.6683	3.8251	33.2511	6.4613	144.5634	9.2404	48.7648	16.0565
ACPT	0	0	0	0	0	0.449	0	0	0.3007	0.5589	0.6303	0	0	0	0	0	0	0	0	0.8555	0.6423
ACR	4.4444	8.2746	7.6375	9.2784	7.8064	7.6336	9.3534	3.936	7.5171	2.2356	5.0425	4.7428	12.9668	1.9283	7.3024	0.5195	2.3076	9.8847	2.5873	3.8499	0.3211
ACRBP	24.7619	33.0983	50.4073	56.701	24.8828	27.8401	19.1135	18.2485	35.7812	28.5038	31.5159	37.5775	11.9295	27.3814	14.9526	20.2624	17.0763	7.4135	13.6758	33.7932	31.7919
ACRC	26.9841	14.6685	24.9491	26.8041	17.5643	14.3691	40.6669	30.4142	18.3416	31.2983	11.3457	10.5801	26.4523	16.9688	23.646	5.1955	26.3067	28.8303	17.372	26.949	17.0199
ACRV1	0.9524	0	0	0.5155	0.9758	0	0.8133	0.7156	0.6014	1.9561	20.4853	3.6483	2.0747	0	1.3909	0	3.6922	1.6474	5.5443	0.4278	0.6423
ACSBG1	13.3333	78.9845	18.3299	12.8866	13.1733	14.3691	11.7934	28.6251	26.4601	13.693	16.3883	3.2835	3.6307	2.3139	4.5206	12.4692	0.923	10.7084	8.8708	1.2833	4.1747
ACSBG2	7.619	5.0776	3.5642	0	1.4637	4.0413	1.6267	7.5141	2.1048	2.515	0.6303	0.7297	1.0373	0.7713	1.3909	0	0.4615	0.8237	0.3696	0.4278	2.2479
ACSF2	1588.5714	1803.4791	1517.3116	1087.1134	981.1635	1478.2218	2364.3758	529.2065	740.9122	841.7005	136.4639	222.5465	174.7925	557.2696	135.2691	226.0034	183.6852	822.8995	446.1283	449.5776	979.7688
ACSF3	472.381	383.2628	279.5316	267.0103	222.4816	314.3242	258.2351	165.6678	286.5506	375.859	400.8824	472.0905	532.1577	284.6124	392.5932	236.3943	436.1371	397.8583	77.25	398.2462	269.4284
ACSL1	2680.9524	13601.8806	41042.2607	28717.0103	42020.2405	35066.4571	88008.5401	5452.366	8589.9034	2886.7086	2100.2206	3257.5702	1969.917	1821.4423	4225.6803	631.2508	4321.6799	464.168	932.9144	1589.9904	3630.3789
ACSL3	3615.873	5552.2332	1933.8086	2411.3402	3099.13	2409.9686	1919.0728	3137.311	2526.336	6971.4152	1313.5834	2106.8953	2466.805	2019.6683	2183.7781	7702.8185	2370.8319	2560.9555	6625.7623	1830.3925	2015.7354
ACSL4	1052.6984	1574.8002	2809.5723	3653.0928	2400.9475	1862.1464	2451.403	2550.1387	1779.4402	1548.986	2952.0958	1210.8719	755.7054	1446.587	1776.2323	701.9093	1570.0935	790.3624	1211.606	2282.5366	1440.5909
ACSL5	857.7778	1032.4401	954.6843	1175.2577	968.966	882.3529	936.5596	1145.7197	899.9433	801.4598	270.4066	225.4652	329.8755	1814.1149	213.8573	248.8635	1305.1806	1003.2949	195.5276	1347.0217	911.368
ACSL6	5.7143	5.6417	1.5275	1.5464	2.4395	5.8374	0.4067	4.2938	4.5102	22.3559	84.1475	36.8479	4.668	35.0945	672.8679	2.5977	407.0613	5.7661	11.4581	21.8158	23.4425
ACSM1	34.9206	5884.3441	0.5092	1.5464	11.7096	23.3498	0.4067	31.1298	69.4577	218.8086	1.891	36.1182	26.971	4.6278	2.7819	1.5586	0	2.4712	1.8481	12.8329	2.2479
ACSM2A	5.3968	1.1283	5.6008	15.4639	2.4395	0	15.8601	4.6516	3.6082	4.1917	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0.9524	6.7701	1.5275	9.7938	0.9758	0.449	12.2001	1.7891	0.902	1.6767	0	0	0	0.3857	0	0	0	0	0	0.4278	0
ACSM3	186.9556	511.7931	11.1965	5.4536	26.8832	64.9798	13.6072	202.5655	111.8119	270.3893	8.0964	28.9675	361.6234	53.8681	5.4421	26.6424	21.1838	2.4712	16.6439	63.4841	76.7887
ACSM4	0	0	0	0	0	0	0	0.3578	0	0.2794	0	0.3648	0	0	0	0	0	0	0	0	0
ACSM5	97.4603	387.4001	1359.4705	1585.0515	584.0143	158.5092	1865.7991	109.491	258.8878	70.1417	0.9455	5.4725	7.7801	9.6413	3.4774	2.5977	6.9228	0	2.9569	13.2606	35.0032
ACSM6	3.1746	1.5045	0.5092	2.0619	0.9758	0	0	1.4313	0	1.9561	0	0	0	0	0.6955	0	0	0	0	0	0
ACSS1	1026.9841	992.9478	338.5947	559.7938	520.5875	729.6812	447.743	639.771	693.9757	750.6001	3058.3044	1732.2145	547.1992	814.1149	526.8191	1848.5518	508.1343	667.6277	556.6439	947.4922	1407.8356
ACSS2	1106.0317	2965.3032	6902.7495	5257.732	5176.6009	3129.322	8939.4063	1910.7255	2045.2437	1071.9665	745.6666	759.9416	512.4481	936.7528	1205.9463	2801.9223	211.838	2518.5338	1262.2436	626.2432	501.2845
ACSS3	246.0317	527.3155	1563.6456	1074.7423	812.8386	249.6632	3765.7584	523.8393	362.022	425.042	25.5279	125.1368	431.0166	25.4531	167.2607	23.3797	88.1505	96.7875	29.939	118.9178	223.1856
ACTA1	6.6667	61.6831	1.5275	0	1.4637	4.4903	0.8133	27.1938	52.3188	14.8108	1.5758	2.189	6.7427	3.8565	3.4774	11.9496	5.0767	16.8863	59.878	0	4.1747
ACTA2	44140.0794	16771.4227	3202.6578	4907.3711	18190.8341	16951.3606	5650.9882	34869.6985	44806.01	26494.2364	1820.2679	3714.0934	26984.8444	7956.5407	19503.9798	9002.0418	3560.2031	1310.6425	5994.9473	3761.1849	3353.7508
ACTB	82066.6667	103656.9817	64842.668	83073.1959	74102.9685	70203.8617	46972.3465	80465.1579	99917.4626	82314.5087	42110.6209	104936.1547	250475.6224	164528.3455	121000.4347	170971.8145	104431.9834	197221.9934	139511.3657	130653.8338	85385.6776
ACTBL2	1.5873	9.0268	0	0	0.4879	1.7961	0	10.7344	4.8109	6.1479	0	4.7428	6.7427	0	1.3909	9.8714	3.2306	50.659	22.177	5.9887	14.4509
ACTC1	17.4603	1.1283	2.5458	2.5773	17.5643	3.1432	27.6535	11.0922	37.5853	1.1178	1.5758	2.9186	22.3029	10.027	6.2592	1.0391	2.7691	0.8237	4.4354	0	0
ACTG1	56108.5714	60421.6267	32175.1527	41863.9175	40198.4282	47939.3803	25311.9154	53620.1807	59725.5068	62662.814	52699.023	109905.1441	121509.8548	78046.2784	83617.4911	82822.1847	76535.8255	70535.4201	101455.5535	66758.2077	72121.7084
ACTG1P4	6.1683	15.5712	21.4562	15.2216	7.1038	24.0952	20.9719	20.6351	13.7743	20.6345	6.5994	7.2601	27.3755	3.0852	7.3337	0	5.6536	0	5.6847	12.7986	21.4933
ACTG2	8744.127	4360.3197	181.7719	215.9794	3967.5889	3226.7625	327.3688	8815.8154	17234.531	4544.4003	34.3523	331.6308	1373.9627	392.5954	47623.4026	1383.0368	575.5163	75.7825	2507.4848	582.1837	109.8266
ACTL10	68.5714	59.0503	4.5825	9.2784	11.2217	13.471	1.22	11.8079	21.6492	31.8572	14.1822	58.3729	21.2656	40.108	26.7756	31.1729	70.6127	22.6524	14.0455	88.1189	33.3976
ACTL6A	701.2698	615.7029	572.8106	577.8351	630.8525	562.6403	545.3436	919.2235	748.6999	1075.5993	2851.8752	2762.1306	1508.2988	1182.7998	3275.3195	1867.775	2697.127	3530.8896	2306.4129	1220.832	3323.6994
ACTL6B	0	0	0	0	0	0	0	0	0.6014	0	649.2279	0	0	0	0.3477	0	0	0	0	0	0.6423
ACTL7A	0	0	0	0	0.4879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0.3761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7392	0	0
ACTL8	0	1.1283	0	0	0	0	0.4067	0.7156	0	0.5589	67.4441	31.3754	394.1909	0	37.2077	0	3818.6224	7.8254	11.4581	23.5269	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3857	0	0	0	0	0	0	0
ACTN1	10773.9683	7675.7875	5582.9939	3022.6804	8627.9934	8806.0171	3459.5364	7866.5355	12030.6155	10733.917	2954.9322	8262.313	6192.9461	5256.074	6806.5722	4179.2441	10080.5354	401.1532	7862.5023	3444.7653	6864.483
ACTN2	0.9524	0.3761	1.5275	4.1237	1.4637	1.7961	8.1334	2.1469	5.1116	0.5589	4.7274	5.1076	16.5975	46.6641	74.0676	9.3519	1.8461	0.4119	1.8481	4.2776	18.3044
ACTN3	2.2222	3.385	1.5275	0.5155	1.9516	0.449	1.6267	1.0734	2.7061	0.8383	2.2061	2.189	0.5187	2.6996	0	0	1.8461	0.8237	1.8481	8.1275	7.386
ACTN4	11032.9556	11164.9459	10318.5183	7088.1031	10572.1608	9910.1661	6056.8564	8207.2565	12681.0644	9661.8695	7814.7305	17215.0675	16079.1753	13254.6857	11038.2474	9257.4049	16656.1763	13005.9308	14804.4761	18137.5254	47548.9627
ACTR10	1279.3651	1131.3587	1080.9572	1159.2784	1189.9839	1011.6749	1333.0622	1439.1269	1252.0428	973.8799	1371.2575	677.8548	553.4232	843.039	813.0053	601.6366	928.1181	580.313	908.5197	730.1893	1215.7996
ACTR1A	2555.5556	3693.465	3701.1202	3491.2371	3366.9861	3226.7625	2707.198	2345.4692	2889.8614	2562.5477	2537.3464	1825.9759	4201.7635	3014.6548	1979.3097	2761.9171	3418.4839	2027.1829	2936.241	2751.3635	3009.955
ACTR1B	1724.127	1599.6239	1330.4481	1221.134	1174.3712	1475.9767	929.6462	943.5549	1597.5272	1363.7113	1022.3763	1296.2422	935.6846	1350.1735	1313.3965	3585.9202	821.9684	1489.7035	789.5029	1140.8406	1743.4168
ACTR2	3920	4545.3691	5954.6843	7565.4639	5608.3909	3940.2784	5772.2651	6362.6442	5092.9636	6174.9854	5052.6316	6635.1696	9170.6432	7016.9688	8276.1019	7818.6778	7843.083	8412.2735	4706.3389	9159.6621	9405.5877
ACTR3	2692.6984	2759.1913	2766.8024	4159.7938	2864.9388	2167.9389	2422.5295	3859.3792	3303.3001	4057.6	4329.0262	4823.4221	5924.7925	8040.4936	7864.0355	5702.5588	6961.1169	13119.4399	4164.4798	6131.109	8096.6602
ACTR3B	272.381	130.5125	80.9572	56.1856	103.9223	122.5864	94.754	162.8053	161.1659	297.3338	935.3924	743.1594	667.5311	185.4994	719.8122	873.3602	384.9083	793.6573	757.3461	659.1808	473.9884
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	44.127	25.5759	25.4582	23.7113	20.4917	17.0633	14.6401	24.3313	44.2004	45.2707	48.2194	67.8584	104.2531	136.5214	48.3352	32.7315	34.6141	96.7875	57.2907	50.9036	32.4342
