TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
ABCB11	1.5873	2.2567	18.8391	30.9278	2.9274	5.3884	92.3139	2.8625	3.3075	0.2794	2.5213	0.3648	0	0.3857	0	2.0782	0.4615	0.4119	0	4.7054	3.2113
ABCB4	21.9048	22.9431	64.1548	13.9175	13.1733	24.2479	21.9601	35.7814	29.7676	19.282	55.7832	8.3911	23.3402	34.3232	5.9115	18.1842	33.691	5.3542	9.2404	64.592	33.3976
ABCB5	96.8254	136.5303	56.0081	80.4124	78.0637	32.3305	130.9475	325.6105	107.043	26.5477	0.3152	10.5801	0	0.7713	0	1.5586	0	0	2.5873	7.2719	2.569
ABCB6	442.2286	839.3907	715.3106	849.3711	624.5245	518.0242	529.9512	313.1622	375.0475	527.175	99.2531	247.811	564.9585	586.8762	339.5219	3800.2026	501.1376	334.061	489.3365	218.6804	416.4419
ABCB7	519.0476	521.2976	606.9246	543.8144	460.576	492.1419	838.5523	679.8461	509.0558	492.1098	720.1387	449.1062	137.9668	370.6132	396.0706	221.3274	517.8262	195.6343	625.3927	547.1073	403.6609
ABCB8	571.1111	608.5567	391.5479	411.8557	456.1849	392.4562	287.9219	195.7241	346.6872	489.5947	413.4888	337.1032	744.8133	806.4019	341.4761	463.9564	569.5166	795.7166	642.3951	394.3963	723.1856
ABCB9	103.9873	109.149	48.2841	37.2268	85.1675	139.5195	44.327	79.1591	116.3702	169.7876	721.7933	109.9051	94.0353	98.6232	88.29	123.5329	141.4423	197.1623	139.7339	171.6137	139.8748
ABCC1	923.4921	1428.8669	1453.666	2343.299	1499.7994	1290.9744	848.3123	1176.1338	1013.6014	1351.1361	1134.573	2623.4951	1008.8174	1908.6001	1426.0628	1622.5484	1624.0914	1983.5255	858.6213	1563.0414	1325.9473
ABCC10	365.3968	310.6723	216.9043	273.1959	317.6218	391.5581	216.7548	237.9461	291.9629	414.9818	270.7217	513.6811	676.3485	424.6047	628.3578	666.5801	660.8977	333.196	425.0601	391.402	855.4913
ABCC11	439.0476	2872.4024	3.5642	0.5155	234.1912	5.8374	17.0801	473.0298	150.642	2935.0532	0.6303	1.8242	7.7801	44.3502	12.5185	0	60.9207	0	0.7392	194.2038	5.4592
ABCC12	3.4921	27.8326	0	0	1.9516	0.8981	0	3.5781	0.6014	45.5502	4.4122	1.8242	0.5187	0.7713	0	49.8766	0	0.8237	0	0.8555	0
ABCC13	0	2.2567	0	0.5155	0.4879	1.3471	0.8133	1.7891	0	0.2794	0	0	0.5187	0.3857	0	0	0	0	0	0	0
ABCC2	9.2063	70.3338	46.334	58.7629	19.5159	30.9834	55.7137	19.6798	36.984	60.361	4.0971	1.8242	2.5934	5.0135	18.43	9.3519	15.2302	3.2949	3.6962	8.983	54.5922
ABCC3	644.7619	1081.7113	199.5927	234.0206	408.8588	678.9403	40.6669	411.8436	510.2585	612.5523	23.6369	221.0872	58.61	227.9213	87.6293	28.0556	158.3016	1004.9423	289.4105	355.8978	188.1824
ABCC4	138.0952	200.094	113.5438	229.3814	169.7886	131.1181	126.4742	172.1084	184.9199	472.2689	759.2184	860.6348	61.722	367.9136	755.629	131.9652	259.3746	107.4959	85.012	426.9062	553.6288
ABCC5	739.6825	668.7353	592.1589	1163.4021	610.3608	860.7993	655.9577	869.8452	524.3906	1029.4903	788.5282	1033.5644	1162.8631	794.4466	456.2288	1903.6238	956.7324	1492.9984	1053.4097	645.0647	1618.176
ABCC6	141.5873	540.4795	704.6843	208.7629	872.85	558.599	950.793	86.9487	197.5485	149.5052	15.4428	4.378	83.5062	9.6413	4.1728	15.5864	3.2306	19.7694	11.8278	37.643	21.8369
